,gene,Level4,source,Phenotypes
508,AARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 8, 614096;infantile mitochondrial cardiomyopathy"
509,ABAT,Mitochondrial disorders,gene_panel_112,mtDNA depletion syndrome;613163
510,ABCB7,Mitochondrial disorders,gene_panel_112,"Disorders of iron homeostasis;Anemia, sideroblastic, with ataxia;congenital cerebellar hypoplasia/atrophy (PMID: 26242992)."
511,ACAD9,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;ACAD9 deficiency, 611126;Mitochondrial complex I deficiency due to ACAD9 deficiency"
512,ACO2,Mitochondrial disorders,gene_panel_112,"Infantile cerebellar-retinal degeneration, 614559"
513,AFG3L2,Mitochondrial disorders,gene_panel_112,"Spastic ataxia 5, autosomal recessive OMIM:614487;spastic ataxia 5 MONDO:0013776;Spinocerebellar ataxia 28 OMIM:610246;spinocerebellar ataxia type 28 MONDO:0012450"
514,AGK,Mitochondrial disorders,gene_panel_112,"Sengers syndrome, 212350;Mitochondrial DNA depletion syndrome 10;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Disorders of mitochondrial lipid metabolism;Cataract 38, autosomal recessive, 614691"
515,AIFM1,Mitochondrial disorders,gene_panel_112,"Disorders of mitochondrial apoptosis;Combined oxidative phosphorylation deficiency 6, 300816;Cowchock syndrome, 310490"
516,ANO10,Mitochondrial disorders,gene_panel_112,"Spinocerebellar ataxia, autosomal recessive 10, 613728"
517,APOPT1,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex IV deficiency, nuclear type 17, OMIM:619061;Isolated complex IV deficiency"
518,APTX,Mitochondrial disorders,gene_panel_112,"Disorders of ubiquinone metabolism and biosynthesis;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920;Ataxia with oculomotor apraxia 1"
519,ATAD3A,Mitochondrial disorders,gene_panel_112,"Harel-Yoon syndrome, OMIM:617183;Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, OMIM:618810"
520,ATP5D,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex V (ATP synthase) deficiency, 618120"
521,BOLA3,Mitochondrial disorders,gene_panel_112,"Disorders of iron homeostasis;Multiple mitochondrial dysfunctions syndrome 2, 614299;Hyperglycinaemia, non-ketotic (Baker (2014) Brain 137,366);Multiple Mitochondrial Dysfunctions Syndrome"
522,BTD,Mitochondrial disorders,gene_panel_112,Biotinidase deficiency
523,C12orf65,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 7, OMIM:613559;Spastic paraplegia 55, autosomal recessive, OMIM:615035"
524,C19orf70,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 37, 618329"
525,C1QBP,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 33, MIM#617713"
526,CA5A,Mitochondrial disorders,gene_panel_112,"Hyperammonemia due to carbonic anhydrase VA deficiency, 615751"
527,CARS2,Mitochondrial disorders,gene_panel_112,Combined oxidative phosphorylation deficiency 27 616672;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);No OMIM phenotype
